# time,x,y,z,vx,vy,vz,ax,ay,az,errx,erry,errz
0.4500000,-39.8921000,-43.3505000,0.7545910,0.0024702,0.0084677,0.0323191,-0.0927842,-0.2477170,0.4985240,0.0000707,-0.0002612,-0.7545910
0.4620000,-39.8921000,-43.3504000,0.7548750,-0.0028138,0.0027982,0.0263136,-1.0656800,-0.0136856,3.3858000,0.0001444,-0.0002686,-0.7548750
0.4710000,-39.8921000,-43.3504000,0.7551710,0.0021072,0.0051991,0.0331342,-0.9508310,0.3172790,-0.0285240,0.0001294,-0.0003062,-0.7551710
0.4800000,-39.8920000,-43.3504000,0.7554310,0.0001437,0.0050084,0.0263850,-1.2492100,-0.8032900,-0.3501680,0.0001108,-0.0003571,-0.7554310
0.4920000,-39.8921000,-43.3503000,0.7556980,-0.0056372,0.0029086,0.0217531,-1.3577700,-0.2466340,2.0225000,0.0001358,-0.0004086,-0.7556980
0.5010000,-39.8921000,-43.3503000,0.7559460,-0.0056461,0.0015975,0.0276124,-0.4426180,-0.6194940,-0.0656715,0.0001800,-0.0004350,-0.7559460
0.5100000,-39.8921000,-43.3503000,0.7561740,0.0011872,0.0036635,0.0317170,2.3897900,0.7407950,1.8144800,0.0001996,-0.0004590,-0.7561740
0.5220000,-39.8921000,-43.3502000,0.7566700,-0.0035452,0.0037118,0.0341944,-0.5649170,0.3217360,-2.3500000,0.0002004,-0.0005137,-0.7566700
0.5310000,-39.8921000,-43.3502000,0.7569830,-0.0015638,0.0016335,0.0398223,0.1576330,0.5591850,1.4191700,0.0002195,-0.0005188,-0.7569830
0.5400000,-39.8921000,-43.3502000,0.7572250,0.0017756,0.0037836,0.0093847,0.7959190,0.5574820,-7.8587600,0.0002180,-0.0005445,-0.7572250
0.5520000,-39.8922000,-43.3501000,0.7574370,-0.0033469,0.0019451,0.0076203,-0.7064560,-0.4635680,-1.9675600,0.0002297,-0.0005846,-0.7574370
0.5610000,-39.8922000,-43.3501000,0.7575440,0.0022557,0.0024271,0.0161636,1.4761400,0.3377070,3.0161800,0.0003029,-0.0005634,-0.7575440
0.5700000,-39.8921000,-43.3501000,0.7577670,0.0033178,0.0038801,0.0270023,-0.0641982,0.3399440,1.5683100,0.0002608,-0.0005939,-0.7577670
0.5820000,-39.8921000,-43.3501000,0.7580600,-0.0019453,-0.0014348,0.0243067,-0.4747900,-0.3215080,-0.2150150,0.0002557,-0.0005981,-0.7580600
0.5910000,-39.8921000,-43.3500000,0.7582030,-0.0010948,0.0037125,0.0148035,-1.7254600,-1.1390000,1.4380100,0.0002613,-0.0006293,-0.7582030
0.6000000,-39.8921000,-43.3500000,0.7583060,-0.0014784,0.0012376,0.0133915,-0.8471100,-0.3107420,2.4962100,0.0002635,-0.0006491,-0.7583060
0.6120000,-39.8921000,-43.3500000,0.7586030,0.0032721,0.0037040,0.0316608,2.1242900,0.8885430,1.9169200,0.0003457,-0.0006431,-0.7586030
0.6210000,-39.8921000,-43.3499000,0.7589360,-0.0044957,0.0056465,0.0356650,-1.6202500,0.9905940,-0.9183220,0.0003598,-0.0006809,-0.7589360
0.6300000,-39.8922000,-43.3499000,0.7591990,-0.0041182,0.0040783,0.0343393,-0.3798390,-0.1521780,1.7764500,0.0003921,-0.0007188,-0.7591990
